,rank,Youtuber,subscribers,video views,video count,category,started
337,338,Kurzgesagt â€“ In a Nutshell,"19,000,000","2,052,293,685",161,Education,2013
338,339,DLS News,"19,000,000","1,946,197,106","3,559",News & Politics,2017
341,342,The ACE Family,"18,800,000","4,497,282,091",668,People & Blogs,2016
342,343,Clash of Clans,"18,800,000","3,623,586,697",553,Gaming,2013
343,344,Sun TV,"18,700,000","13,622,998,578","34,648",People & Blogs,2016
344,345,Ninja Kidz TV,"18,700,000","9,145,485,770",267,Entertainment,2017
345,346,Netflix India,"18,700,000","5,228,700,571","2,707",People & Blogs,2016
346,347,Beast Reacts,"18,700,000","2,528,480,817",215,People & Blogs,2016
348,349,TRT Originals Urdu,"18,600,000","7,370,103,100",740,Entertainment,2020
349,350,Lil Nas X,"18,600,000","5,659,051,618",37,Music,2018
351,352,Green Gold TV - Official Channel,"18,500,000","8,985,315,647","1,090",Film & Animation,2011
352,353,TheWillyrex,"18,500,000","6,957,319,094","6,798",Comedy,2011
353,354,Cardi B,"18,500,000","7,069,624,864",60,People & Blogs,2016
354,355,invictor,"18,500,000","7,050,721,828","2,106",Gaming,2013
356,357,CKN,"18,300,000","18,786,377,776",814,Entertainment,2015
357,358,Official Pink Panther,"18,300,000","9,942,133,522",629,Film & Animation,2013
358,359,Sonotek,"18,300,000","7,133,240,982","8,169",Entertainment,2011
359,360,MiawAug,"18,200,000","5,236,302,709","3,287",Gaming,2014
361,362,Turma da MÃ´nica,"18,200,000","13,088,159,940","1,094",Film & Animation,2012
362,363,CookieSwirlC,"18,200,000","20,938,593,710","3,571",Entertainment,2013
363,364,David Dobrik,"18,200,000","7,087,407,988",536,People & Blogs,2014
365,366,The Royalty Family,"18,200,000","4,490,004,408",633,People & Blogs,2017
366,367,A_S Gaming,"18,200,000","2,476,464,261",932,Gaming,2016
367,368,HiMan,"18,200,000","2,367,699,484",326,People & Blogs,2014
368,369,BabyBus - Cerita & Lagu Anak-anak,"18,100,000","10,232,250,581",672,Education,2019
370,371,Vania Mania Kids,"18,100,000","6,908,411,472",825,People & Blogs,2015
372,373,GEN HALILINTAR,"18,100,000","3,178,960,318",969,Entertainment,2015
373,374,ElTrollino,"18,000,000","5,486,103,239","1,517",Entertainment,2013
374,375,ÐœÐ¸Ñ€Ð¾ÑˆÐºÐ° Ð¢Ð’,"18,000,000","4,603,751,673",84,Education,2018
375,376,TheOdd1sOut,"18,000,000","4,023,496,321",113,Comedy,2014
376,377,INCRÃVEL,"18,000,000","3,017,467,860","5,682",People & Blogs,2017
377,378,Emiway Bantai,"18,000,000","3,038,899,728",201,Music,2013
380,381,Diana and Roma EN,"17,900,000","3,868,166,958",424,People & Blogs,2011
382,383,Like Nastya Vlog,"17,800,000","7,561,933,732",397,People & Blogs,2016
384,385,Lele Pons,"17,800,000","4,958,584,356",154,Comedy,2015
385,386,Lil Pump,"17,800,000","4,091,109,829",59,Music,2015
386,387,Naisa Alifia Yuriza (N.A.Y),"17,800,000","2,521,515,641","1,462",People & Blogs,2017
387,388,SCTV,"17,700,000","8,588,329,369","50,080",Entertainment,2011
389,390,TheGrefg,"17,700,000","6,077,820,746","3,332",Gaming,2012
393,394,RsiamMusic : à¸­à¸²à¸£à¹Œà¸ªà¸¢à¸²à¸¡,"17,600,000","10,952,154,122","2,663",Music,2011
394,395,Little Angel EspaÃ±ol - Canciones Infantiles,"17,600,000","8,525,569,510",580,Education,2018
395,396,ÐŸÐ¾Ð·Ð½Ð°Ð²Ð°Ñ‚ÐµÐ»ÑŒ,"17,600,000","8,522,826,642",476,Entertainment,2014
396,397,JFlaMusic,"17,600,000","3,657,526,529",282,Music,2011
397,398,Village Cooking Channel,"17,600,000","4,477,436,881",211,Howto & Style,2018
398,399,FactTechz,"17,500,000","2,112,929,572",578,Entertainment,2016
399,400,SebastiÃ¡n Yatra,"17,400,000","9,316,925,082",196,News & Politics,2013
402,403,Porta dos Fundos,"17,400,000","7,258,838,590","1,960",Entertainment,2012
403,404,Liza Koshy,"17,400,000","2,595,554,113",189,Comedy,2013
406,407,TED-Ed,"17,300,000","3,287,834,094","1,948",Education,2011
407,408,Stubborn Facts,"17,300,000","827,786,482",217,Film & Animation,2016
408,409,PopularMMOs,"17,200,000","14,475,783,059","4,686",Gaming,2012
409,410,SQUEEZIE,"17,200,000","9,258,609,822","1,471",Gaming,2011
410,411,Masha e o Urso,"17,200,000","7,131,816,532",856,Shows,2016
412,413,RobleisIUTU,"17,200,000","4,680,573,231","1,145",Entertainment,2013
413,414,EeOneGuy,"17,200,000","3,804,413,513",363,Entertainment,2013
415,416,GRAMMY GOLD OFFICIAL,"17,100,000","17,974,040,182","5,334",Music,2014
416,417,SUPER SLICK SLIME SAM,"17,100,000","6,078,466,417",741,Howto & Style,2018
417,418,HowToBasic,"17,100,000","3,561,001,854",563,Howto & Style,2011
418,419,æŽå­æŸ’ Liziqi,"17,100,000","2,801,548,472",128,Howto & Style,2017
419,420,Gaby and Alex,"17,000,000","7,942,553,236",351,Entertainment,2012
420,421,Ø´Ø¨ÙƒØ© Ø§Ù„Ø¹Ø§Ø¨ Ø§Ù„Ø¹Ø±Ø¨ | Arab Games Network,"17,000,000","7,723,277,433","5,515",Gaming,2013
421,422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"17,000,000","6,221,383,175",192,Education,2017
422,423,Rafa & Luiz,"17,000,000","6,273,315,738","2,184",Entertainment,2015
423,424,Khan GS Research Centre,"17,000,000","1,670,639,781",347,Education,2019
424,425,à¤¹à¤¿à¤‚à¤¦à¥€ - Genevieve's Playhouse,"16,900,000","9,195,178,282",96,Education,2018
425,426,Ø§Ù„Ù€Ø±ÙŠÙ…Ø§Ø³ - Al-Remas,"16,900,000","10,550,888,024","2,047",Music,2013
426,427,Junya.ã˜ã‚…ã‚“ã‚„,"16,900,000","9,529,205,653","3,150",Entertainment,2020
428,429,Doggy Doggy Cartoons,"16,800,000","6,459,285,262","4,723",Entertainment,2012
431,432,Maya and Mary,"16,800,000","6,304,251,610",539,Entertainment,2013
432,433,DUDU e CAROL,"16,700,000","6,530,946,230","2,874",Autos & Vehicles,2013
